Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,Cuarentena,Dia,1,2,3,4,5,6,7,8,9,10,dia_a_predecir
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,15,6,7,7,9,10,10,11,12,12,12,14
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,16,7,7,9,10,10,11,12,12,12,14,19
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,17,7,9,10,10,11,12,12,12,14,19,19
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,18,9,10,10,11,12,12,12,14,19,19,32
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,19,10,10,11,12,12,12,14,19,19,32,38
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,49.8175,15.473,39,246953.0,6.21,16.0,11,3,3,5,8,12,18,19,31,31,41,91
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,49.8175,15.473,39,246953.0,6.21,16.0,12,3,5,8,12,18,19,31,31,41,91,94
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,49.8175,15.473,39,246953.0,6.21,16.0,13,5,8,12,18,19,31,31,41,91,94,141
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,49.8175,15.473,39,246953.0,6.21,16.0,14,8,12,18,19,31,31,41,91,94,141,189
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,11,1,1,3,4,4,6,11,11,24,24,37
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,12,1,3,4,4,6,11,11,24,24,37,92
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,13,3,4,4,6,11,11,24,24,37,92,264
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,14,4,4,6,11,11,24,24,37,92,264,444
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,15,4,6,11,11,24,24,37,92,264,444,617
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,16,6,11,11,24,24,37,92,264,444,617,804
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,14.0,17,11,11,24,24,37,92,264,444,617,804,836
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,18.7357,-70.1627,39,89475.0,2.82,19.0,11,1,1,1,1,1,2,2,5,5,5,5
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,18.7357,-70.1627,39,89475.0,2.82,19.0,12,1,1,1,1,2,2,5,5,5,5,5
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,18.7357,-70.1627,39,89475.0,2.82,19.0,13,1,1,1,2,2,5,5,5,5,5,5
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,18.7357,-70.1627,39,89475.0,2.82,19.0,14,1,1,2,2,5,5,5,5,5,5,11
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,-1.8312,-78.1834,39,107914.0,4.29,16.0,11,6,6,7,10,13,13,13,14,15,15,17
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,-1.8312,-78.1834,39,107914.0,4.29,16.0,12,6,7,10,13,13,13,14,15,15,17,17
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,-1.8312,-78.1834,39,107914.0,4.29,16.0,13,7,10,13,13,13,14,15,15,17,17,17
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,-1.8312,-78.1834,39,107914.0,4.29,16.0,14,10,13,13,13,14,15,15,17,17,17,28
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,11,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,12,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,13,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,14,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,15,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,16,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,17,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,18,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,19,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,20,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,21,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,22,1,1,1,1,1,1,1,1,1,1,1
